problem	published_M1_iters	pinned_M1_iters	x86_iters	iters_changed	pinned_matches_x86	published_M1_obj	pinned_M1_obj	x86_obj	obj_changed
arch0	72	72	72	no	YES	5.6651727321592960e-01	5.6651727321592960e-01	5.6651727321592960e-01	no
arch2	71	71	71	no	YES	6.7151540763990791e-01	6.7151540763990791e-01	6.7151540763990791e-01	no
arch4	72	72	72	no	YES	9.7262741740980896e-01	9.7262741740980896e-01	9.7262741740980896e-01	no
arch8	66	66	66	no	YES	7.0569800367002555e+00	7.0569800367002555e+00	7.0569800367002555e+00	no
control1	69	71	71	YES	YES	1.7784626717523405e+01	1.7784626717523405e+01	1.7784626717523405e+01	no
control2	59	64	64	YES	YES	8.2999999857902349e+00	8.2999999857902349e+00	8.2999999857902349e+00	no
control5	60	59	59	YES	YES	1.6883599050955794e+01	1.6883599050955794e+01	1.6883599050955794e+01	no
control6	59	59	59	no	YES	3.7304412616333281e+01	3.7304412616333281e+01	3.7304412616333281e+01	no
control7	60	60	60	no	YES	2.0625072243801760e+01	2.0625072243801760e+01	2.0625072243801760e+01	no
control8	61	61	61	no	YES	2.0286360379531459e+01	2.0286360379531459e+01	2.0286360379531459e+01	no
gpp100	23	23	23	no	YES	-4.4943074465425575e+01	-4.4943074465425575e+01	-4.4943074465425575e+01	no
gpp124-1	24	24	24	no	YES	-7.3429256740235651e+00	-7.3429256740235607e+00	-7.3429256740235607e+00	YES
mcp100	66	54	54	YES	YES	2.2615735148330884e+02	2.2615735148330884e+02	2.2615735148330884e+02	no
mcp124-1	62	50	50	YES	YES	1.4199047709767370e+02	1.4199047709767370e+02	1.4199047709767370e+02	no
qap8	19	19	19	no	YES	-7.5694293990998108e+02	-7.5694312988433944e+02	-7.5694312988433944e+02	YES
qap9	19	19	19	no	YES	-1.4099198799866915e+03	-1.4099198052029226e+03	-1.4099198052029226e+03	YES
theta1	45	50	50	YES	YES	2.3000000000000000e+01	2.3000000000000000e+01	2.3000000000000000e+01	no
theta2	59	56	56	YES	YES	3.2879169015772582e+01	3.2879169015772582e+01	3.2879169015772582e+01	no
theta3	62	68	68	YES	YES	4.2166981488494407e+01	4.2166981488494407e+01	4.2166981488494407e+01	no
truss5	63	62	62	YES	YES	-1.3263567797250604e+02	-1.3263567797250604e+02	-1.3263567797250604e+02	no
