build	problem	mode	threads	repeat	mainloop_s	rss_kb	rc	iterations	phase	objValPrimal
main	dE4	default	24	1	6.389778	391320	0	4	noINFO	2.1206252458976116e+07
main	dE4	default	1	1	46.569321	391368	0	4	noINFO	2.1206252458976116e+07
main	dE3	default	24	1	4.417450	283872	0	4	noINFO	2.0886785242906671e+07
main	dE3	default	1	1	31.374115	284016	0	4	noINFO	2.0886785242906671e+07
main	dE3	legacy	24	1	22.564564	686956	0	4	noINFO	2.0886785242906671e+07
main	dE3	legacy	1	1	176.287202	686700	0	4	noINFO	2.0886785242906671e+07
main	dE4	default	24	2	6.233845	391340	0	4	noINFO	2.1206252458976116e+07
main	dE4	default	1	2	46.553123	391264	0	4	noINFO	2.1206252458976116e+07
main	dE3	default	24	2	4.556644	283972	0	4	noINFO	2.0886785242906671e+07
main	dE3	default	1	2	31.352196	284220	0	4	noINFO	2.0886785242906671e+07
main	dE3	legacy	24	2	22.244315	686608	0	4	noINFO	2.0886785242906671e+07
main	dE3	legacy	1	2	176.426856	686716	0	4	noINFO	2.0886785242906671e+07
main	dE4	default	24	3	6.427890	391112	0	4	noINFO	2.1206252458976116e+07
main	dE4	default	1	3	46.554531	391324	0	4	noINFO	2.1206252458976116e+07
main	dE3	default	24	3	4.386753	284124	0	4	noINFO	2.0886785242906671e+07
main	dE3	default	1	3	31.361133	284248	0	4	noINFO	2.0886785242906671e+07
main	dE3	legacy	24	3	22.526188	686876	0	4	noINFO	2.0886785242906671e+07
main	dE3	legacy	1	3	176.232619	686768	0	4	noINFO	2.0886785242906671e+07
