structure	m	route_mode	actual_route	overlap	repeat	mainloop_s	makebmat_s	rss_kb	rc
m2439	2439	auto	DENSE	none	1	1.918566	0.049344	119108	0
m2439	2439	auto	DENSE	none	2	1.923910	0.050333	119144	0
m2439	2439	auto	DENSE	none	3	1.998082	0.049539	118904	0
m2439	2439	fill	SPARSE	barrier	1	0.717278	0.034260	51368	0
m2439	2439	fill	SPARSE	barrier	2	0.606412	0.034881	51700	0
m2439	2439	fill	SPARSE	barrier	3	0.605798	0.034193	51836	0
m4489	4489	auto	DENSE	none	1	9.428212	0.245097	401504	0
m4489	4489	auto	DENSE	none	2	9.193088	0.246223	401592	0
m4489	4489	auto	DENSE	none	3	9.218667	0.245690	401496	0
m4489	4489	fill	SPARSE	barrier	1	3.592573	0.199619	217720	0
m4489	4489	fill	SPARSE	barrier	2	3.770247	0.201500	217760	0
m4489	4489	fill	SPARSE	barrier	3	3.591772	0.199087	218020	0
m5278	5278	auto	DENSE	none	1	14.501742	0.292291	530976	0
m5278	5278	auto	DENSE	none	2	14.483482	0.292603	531352	0
m5278	5278	auto	DENSE	none	3	14.662727	0.293980	531064	0
m5278	5278	fill	SPARSE	barrier	1	3.859231	0.219205	239484	0
m5278	5278	fill	SPARSE	barrier	2	4.195425	0.217901	239504	0
m5278	5278	fill	SPARSE	barrier	3	3.877079	0.219897	239744	0
m6067	6067	auto	DENSE	none	1	22.965136	0.376485	686872	0
m6067	6067	auto	DENSE	none	2	23.309368	0.375368	686620	0
m6067	6067	auto	DENSE	none	3	22.974313	0.373328	686812	0
m6067	6067	fill	SPARSE	barrier	1	4.491710	0.277814	283924	0
m6067	6067	fill	SPARSE	barrier	2	4.501327	0.278258	284100	0
m6067	6067	fill	SPARSE	barrier	3	4.498084	0.277738	283808	0
m8359	8359	auto	DENSE	none	1	65.711442	0.837135	1319404	0
m8359	8359	auto	DENSE	none	2	66.203051	0.837084	1319888	0
m8359	8359	auto	DENSE	none	3	66.372908	0.836598	1319676	0
m8359	8359	fill	SPARSE	barrier	1	15.130770	0.663955	600860	0
m8359	8359	fill	SPARSE	barrier	2	15.144889	0.662242	600860	0
m8359	8359	fill	SPARSE	barrier	3	14.832308	0.663991	600716	0
m10614	10614	auto	DENSE	none	1	151.154943	1.287301	2080500	0
m10614	10614	auto	DENSE	none	2	150.259122	1.286747	2080588	0
m10614	10614	auto	DENSE	none	3	150.472794	1.285220	2080748	0
m10614	10614	fill	SPARSE	barrier	1	22.024428	1.004182	850640	0
m10614	10614	fill	SPARSE	barrier	2	22.362207	1.002651	850724	0
m10614	10614	fill	SPARSE	barrier	3	22.565778	0.999355	850204	0
m11227	11227	auto	DENSE	none	1	175.693045	1.708930	2414696	0
m11227	11227	auto	DENSE	none	2	175.806741	1.710023	2414968	0
m11227	11227	auto	DENSE	none	3	176.500892	1.712792	2415040	0
m11227	11227	fill	SPARSE	barrier	1	47.943803	1.405867	1210832	0
m11227	11227	fill	SPARSE	barrier	2	47.916996	1.407563	1211016	0
m11227	11227	fill	SPARSE	barrier	3	48.090682	1.403131	1211216	0
