problem	nblock	pairs	pairs_per_block	asm_serial_s	asm_parallel_s	ratio	verdict
truss6	151	10902	72	0.001947	0.036415	0.053	loss
8_min	10	833	83	0.000539	0.002966	0.182	loss
control1	2	351	176	0.000288	0.000991	0.291	loss
crossblock	24	19680	820	0.002206	0.007302	0.302	loss
spchol_fix	24	864	36	0.000206	0.000690	0.299	loss
10_min	12	16219	1352	0.048869	0.008175	5.978	win
12_min	16	397430	24839	2.696216	0.407759	6.612	win
arch0	2	15225	7612	0.268050	0.035081	7.641	win
gpp100	1	5151	5151	0.003888	0.013191	0.295	loss
9_min	9	20847	2316	0.089122	0.012921	6.897	win
10_max	12	16219	1352	0.047955	0.008192	5.854	win
max_cs	7	359	51	0.000275	0.002181	0.126	loss
