problem	nblock	pairs	pairs_per_block	asm_serial_s	asm_parallel_s	ratio	verdict
truss6	151	10902	72	0.001865	0.004836	0.386	loss
8_min	10	833	83	0.000611	0.001243	0.492	loss
control1	2	351	176	0.000358	0.000860	0.416	loss
crossblock	24	19680	820	0.002779	0.001670	1.664	win
spchol_fix	24	864	36	0.000258	0.001456	0.177	loss
10_min	12	16219	1352	0.038291	0.005310	7.211	win
12_min	16	397430	24839	2.532055	0.409378	6.185	win
arch0	2	15225	7612	0.252026	0.025601	9.844	win
gpp100	1	5151	5151	0.002409	0.020397	0.118	loss
9_min	9	20847	2316	0.074288	0.010693	6.947	win
10_max	12	16219	1352	0.038297	0.005747	6.664	win
max_cs	7	359	51	0.000306	0.001184	0.258	loss
