build	problem	run	objValPrimal
dd_race	truss6	1	3.9521499916550376e+04
dd_race	truss6	2	3.6353612816197647e+03
dd_race	truss6	3	3.9522422936534203e+04
dd_race	truss6	4	1.0821458315017234e+05
dd_race	truss6	5	3.9521633104401415e+04
dd_race	arch0	1	5.6651727321592960e-01
dd_race	arch0	2	5.6651727321592960e-01
dd_race	arch0	3	5.6651727321592960e-01
dd_race	arch0	4	5.6651727321592960e-01
dd_race	arch0	5	5.6651727321592960e-01
dd_cond	truss6	1	-9.0100140477088098e+02
dd_cond	truss6	2	-9.0100140477088098e+02
dd_cond	truss6	3	-9.0100140477088098e+02
dd_cond	truss6	4	-9.0100140477088098e+02
dd_cond	truss6	5	-9.0100140477088098e+02
dd_cond	arch0	1	5.6651727321592960e-01
dd_cond	arch0	2	5.6651727321592960e-01
dd_cond	arch0	3	5.6651727321592960e-01
dd_cond	arch0	4	5.6651727321592960e-01
dd_cond	arch0	5	5.6651727321592960e-01
