problem	build	route	run	objValPrimal
truss6	v7.1.3-omp.2	auto/sparse	1	2.1611901436772943e+06
truss6	v7.1.3-omp.2	auto/sparse	2	9.7205414006274572e+04
truss6	v7.1.3-omp.2	auto/sparse	3	-9.0093934416427931e+02
truss6	v7.1.3-omp.2	auto/sparse	4	1.6632246196208220e+04
truss6	v7.1.3-omp.2	auto/sparse	5	9.8204796932176279e+05
truss6	fixed	auto/sparse	1	-9.0100140477088098e+02
truss6	fixed	auto/sparse	2	-9.0100140477088098e+02
truss6	fixed	auto/sparse	3	-9.0100140477088098e+02
truss6	fixed	auto/sparse	4	-9.0100140477088098e+02
truss6	fixed	auto/sparse	5	-9.0100140477088098e+02
truss6	fixed	auto/sparse	6	-9.0100140477088098e+02
truss6	fixed-1thread	auto/sparse	ref	-9.0100140477088098e+02
