build	input	longest_token	run	iterations	phase	objValPrimal
upstream-6eaad8d	_max.dat-s	600	1	0	dFEAS	-0.0000000000000000e+00
upstream-6eaad8d	_max.dat-s	600	2	0	dFEAS	-0.0000000000000000e+00
upstream-6eaad8d	_max.dat-s	600	3	0	dFEAS	-0.0000000000000000e+00
upstream-6eaad8d	_max.dat-s	600	4	0	dFEAS	-0.0000000000000000e+00
upstream-6eaad8d	_max.dat-s	600	5	0	dFEAS	-0.0000000000000000e+00
fork-v7.1.3-omp.2	_max.dat-s	600	1	43	pdOPT	-2.2168869945991022e-02
fork-v7.1.3-omp.2	_max.dat-s	600	2	43	pdOPT	-2.2168869945991022e-02
fork-v7.1.3-omp.2	_max.dat-s	600	3	43	pdOPT	-2.2168869945991022e-02
fork-v7.1.3-omp.2	_max.dat-s	600	4	43	pdOPT	-2.2168869945991022e-02
fork-v7.1.3-omp.2	_max.dat-s	600	5	43	pdOPT	-2.2168869945991022e-02
upstream-6eaad8d	max45.dat-s	45	1	43	pdOPT	-2.2168869937523792e-02
upstream-6eaad8d	max45.dat-s	45	2	43	pdOPT	-2.2168869935064072e-02
upstream-6eaad8d	max45.dat-s	45	3	43	pdOPT	-2.2168869944396093e-02
upstream-6eaad8d	max45.dat-s	45	4	43	pdOPT	-2.2168869942648085e-02
upstream-6eaad8d	max45.dat-s	45	5	43	pdOPT	-2.2168869939170027e-02
fork-v7.1.3-omp.2	max45.dat-s	45	1	43	pdOPT	-2.2168869944779922e-02
fork-v7.1.3-omp.2	max45.dat-s	45	2	43	pdOPT	-2.2168869944779922e-02
fork-v7.1.3-omp.2	max45.dat-s	45	3	43	pdOPT	-2.2168869944779922e-02
fork-v7.1.3-omp.2	max45.dat-s	45	4	43	pdOPT	-2.2168869944779922e-02
fork-v7.1.3-omp.2	max45.dat-s	45	5	43	pdOPT	-2.2168869944779922e-02
upstream-6eaad8d	max30.dat-s	30	1	43	pdOPT	-2.2168869944165934e-02
upstream-6eaad8d	max30.dat-s	30	2	43	pdOPT	-2.2168869942785760e-02
upstream-6eaad8d	max30.dat-s	30	3	43	pdOPT	-2.2168869943629054e-02
upstream-6eaad8d	max30.dat-s	30	4	43	pdOPT	-2.2168869947130927e-02
upstream-6eaad8d	max30.dat-s	30	5	43	pdOPT	-2.2168869946331864e-02
fork-v7.1.3-omp.2	max30.dat-s	30	1	43	pdOPT	-2.2168869943678050e-02
fork-v7.1.3-omp.2	max30.dat-s	30	2	43	pdOPT	-2.2168869943678050e-02
fork-v7.1.3-omp.2	max30.dat-s	30	3	43	pdOPT	-2.2168869943678050e-02
fork-v7.1.3-omp.2	max30.dat-s	30	4	43	pdOPT	-2.2168869943678050e-02
fork-v7.1.3-omp.2	max30.dat-s	30	5	43	pdOPT	-2.2168869943678050e-02
