build	problem	threads	repeat	mainloop_s	rss_kb	rc	iterations	phase	objValPrimal
upstream-6eaad8d	dE4	1	1	49.199501	391420	0	4	noINFO	2.1206252458976116e+07
main	dE4	1	1	46.543776	391392	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	2	1	49.129695	391320	0	4	noINFO	2.1206252458976116e+07
main	dE4	2	1	47.011324	391560	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	4	1	47.793335	391176	0	4	noINFO	2.1206252458976116e+07
main	dE4	4	1	24.271981	391284	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	8	1	47.124515	391168	0	4	noINFO	2.1206252458976116e+07
main	dE4	8	1	14.092673	391064	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	16	1	46.851891	391304	0	4	noINFO	2.1206252458976116e+07
main	dE4	16	1	8.291729	391316	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	24	1	46.918911	391164	0	4	noINFO	2.1206252458976116e+07
main	dE4	24	1	6.417121	391072	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE3	1	1	434.622690	686504	0	4	noINFO	2.0886785242906671e+07
main	dE3	1	1	31.332565	283960	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	2	1	409.016726	686568	0	4	noINFO	2.0886785242906671e+07
main	dE3	2	1	31.633526	284072	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	4	1	211.366662	686508	0	4	noINFO	2.0886785242906671e+07
main	dE3	4	1	16.402334	283708	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	8	1	119.957235	686224	0	4	noINFO	2.0886785242906671e+07
main	dE3	8	1	9.607196	283952	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	16	1	70.860076	686572	0	4	noINFO	2.0886785242906671e+07
main	dE3	16	1	5.829214	284292	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	24	1	60.810837	686096	0	4	noINFO	2.0886785242906671e+07
main	dE3	24	1	4.718121	284120	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE4	1	2	49.196423	391448	0	4	noINFO	2.1206252458976116e+07
main	dE4	1	2	46.545494	391396	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	2	2	49.092119	391420	0	4	noINFO	2.1206252458976116e+07
main	dE4	2	2	47.008424	391232	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	4	2	47.822966	391320	0	4	noINFO	2.1206252458976116e+07
main	dE4	4	2	24.286880	391444	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	8	2	47.128351	390648	0	4	noINFO	2.1206252458976116e+07
main	dE4	8	2	14.125339	391256	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	16	2	46.888928	391704	0	4	noINFO	2.1206252458976116e+07
main	dE4	16	2	8.474836	390764	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	24	2	46.883330	391184	0	4	noINFO	2.1206252458976116e+07
main	dE4	24	2	6.784186	390972	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE3	1	2	434.893184	686700	0	4	noINFO	2.0886785242906671e+07
main	dE3	1	2	31.343352	284048	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	2	2	408.839287	686512	0	4	noINFO	2.0886785242906671e+07
