build	problem	threads	repeat	mainloop_s	rss_kb	rc	iterations	phase	objValPrimal
upstream-6eaad8d	dE4	1	1	49.244806	391336	0	4	noINFO	2.1206252458976116e+07
v7.1.3-omp.3	dE4	1	1	46.602268	416280	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	2	1	49.120116	391336	0	4	noINFO	2.1206252458976116e+07
v7.1.3-omp.3	dE4	2	1	47.017606	416068	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	4	1	47.803927	391512	0	4	noINFO	2.1206252458976116e+07
v7.1.3-omp.3	dE4	4	1	24.240670	415772	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	8	1	47.142980	391116	0	4	noINFO	2.1206252458976116e+07
v7.1.3-omp.3	dE4	8	1	13.978507	415520	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	16	1	46.967151	391120	0	4	noINFO	2.1206252458976116e+07
v7.1.3-omp.3	dE4	16	1	8.474375	415760	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE4	24	1	46.929194	391496	0	4	noINFO	2.1206252458976116e+07
v7.1.3-omp.3	dE4	24	1	6.424094	415232	0	4	noINFO	2.1206252458976116e+07
upstream-6eaad8d	dE3	1	1	434.847832	686612	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	1	1	176.236181	686884	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	2	1	409.170894	686664	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	2	1	168.139738	686504	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	4	1	211.317096	686492	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	4	1	88.175185	686700	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	8	1	120.686786	686672	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	8	1	49.623024	686812	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	16	1	71.082989	686332	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	16	1	27.888327	686552	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE3	24	1	60.776029	686512	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	24	1	23.029627	686792	0	4	noINFO	2.0886785242906671e+07
upstream-6eaad8d	dE4	1	2	49.254699	391364	0	4	noINFO	2.1206252458976116e+07
v7.1.3-omp.3	dE4	1	2	46.624200	416276	0	4	noINFO	2.1206252458976116e+07
