build	problem	mode	threads	repeat	mainloop_s	rss_kb	rc	iterations	phase	objValPrimal
v7.1.3-omp.3	dE4	auto	24	1	6.505889	415660	0	4	noINFO	2.1206252458976116e+07
v7.1.3-omp.3	dE4	auto	1	1	46.611329	416076	0	4	noINFO	2.1206252458976116e+07
v7.1.3-omp.3	dE3	auto	24	1	22.645280	686536	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	auto	1	1	176.289090	686836	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	fill	24	1	4.895277	301452	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	fill	1	1	31.376616	301724	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE4	auto	24	2	6.398549	415504	0	4	noINFO	2.1206252458976116e+07
v7.1.3-omp.3	dE4	auto	1	2	46.611995	416068	0	4	noINFO	2.1206252458976116e+07
v7.1.3-omp.3	dE3	auto	24	2	23.009489	686888	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	auto	1	2	176.383205	686744	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	fill	24	2	4.475183	301584	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	fill	1	2	31.341455	301704	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE4	auto	24	3	6.380634	415492	0	4	noINFO	2.1206252458976116e+07
v7.1.3-omp.3	dE4	auto	1	3	46.614884	416044	0	4	noINFO	2.1206252458976116e+07
v7.1.3-omp.3	dE3	auto	24	3	22.445796	686792	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	auto	1	3	176.357301	686628	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	fill	24	3	4.338656	301328	0	4	noINFO	2.0886785242906671e+07
v7.1.3-omp.3	dE3	fill	1	3	31.369864	301664	0	4	noINFO	2.0886785242906671e+07
