machine	backend	problem	m	config	threads	cpuset	repeat	wall_s	mainloop_s	iters	obj	peak_rss_MB	status
thanos-epyc7232p	dd	control1	21	v712	1	0	1	0.11	0.110000	77	1.7784626717523405e+01	11.6	ok
thanos-epyc7232p	dd	control1	21	v712	1	0	2	0.11	0.090000	77	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	dd	control1	21	v712	1	0	3	0.12	0.100000	77	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	dd	control1	21	upstream1	1	0	1	0.12	0.110626	71	1.7784626717523405e+01	11.6	ok
thanos-epyc7232p	dd	control1	21	upstream1	1	0	2	0.12	0.109907	71	1.7784626717523405e+01	11.6	ok
thanos-epyc7232p	dd	control1	21	upstream1	1	0	3	0.12	0.109969	71	1.7784626717523405e+01	11.6	ok
thanos-epyc7232p	dd	control1	21	upstream8	8	0-7	1	0.15	0.142249	69	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	dd	control1	21	upstream8	8	0-7	2	0.18	0.169270	82	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	dd	control1	21	upstream8	8	0-7	3	0.22	0.214701	109	1.7784626717523405e+01	11.5	ok
thanos-epyc7232p	dd	control1	21	fork1	1	0	1	0.11	0.099377	71	1.7784626717523405e+01	11.8	ok
thanos-epyc7232p	dd	control1	21	fork1	1	0	2	0.10	0.098460	71	1.7784626717523405e+01	11.6	ok
thanos-epyc7232p	dd	control1	21	fork1	1	0	3	0.10	0.097773	71	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	dd	control1	21	fork8	8	0-7	1	0.11	0.099213	71	1.7784626717523405e+01	11.8	ok
thanos-epyc7232p	dd	control1	21	fork8	8	0-7	2	0.11	0.099631	71	1.7784626717523405e+01	11.6	ok
thanos-epyc7232p	dd	control1	21	fork8	8	0-7	3	0.11	0.099385	71	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	dd	gpp100	101	v712	1	0	1	2.96	2.910000	23	-4.4943074465425582e+01	11.8	ok
thanos-epyc7232p	dd	gpp100	101	v712	1	0	2	2.62	2.580000	23	-4.4943074465425582e+01	11.6	ok
thanos-epyc7232p	dd	gpp100	101	v712	1	0	3	2.62	2.590000	23	-4.4943074465425582e+01	11.6	ok
thanos-epyc7232p	dd	gpp100	101	upstream1	1	0	1	3.19	3.165350	23	-4.4943074465425575e+01	11.7	ok
thanos-epyc7232p	dd	gpp100	101	upstream1	1	0	2	3.19	3.161218	23	-4.4943074465425575e+01	11.7	ok
thanos-epyc7232p	dd	gpp100	101	upstream1	1	0	3	3.18	3.159034	23	-4.4943074465425575e+01	11.8	ok
thanos-epyc7232p	dd	gpp100	101	upstream8	8	0-7	1	1.32	1.296757	23	-4.4943074465425575e+01	11.7	ok
thanos-epyc7232p	dd	gpp100	101	upstream8	8	0-7	2	1.22	1.194350	23	-4.4943074465425582e+01	11.6	ok
thanos-epyc7232p	dd	gpp100	101	upstream8	8	0-7	3	1.01	0.983557	23	-4.4943074465425575e+01	11.7	ok
thanos-epyc7232p	dd	gpp100	101	fork1	1	0	1	2.85	2.829054	23	-4.4943074465425575e+01	11.7	ok
thanos-epyc7232p	dd	gpp100	101	fork1	1	0	2	2.86	2.832606	23	-4.4943074465425575e+01	11.7	ok
thanos-epyc7232p	dd	gpp100	101	fork1	1	0	3	2.86	2.835505	23	-4.4943074465425575e+01	11.7	ok
thanos-epyc7232p	dd	gpp100	101	fork8	8	0-7	1	1.24	1.213197	23	-4.4943074465425575e+01	11.7	ok
thanos-epyc7232p	dd	gpp100	101	fork8	8	0-7	2	1.23	1.206405	23	-4.4943074465425575e+01	11.7	ok
thanos-epyc7232p	dd	gpp100	101	fork8	8	0-7	3	1.26	1.222865	23	-4.4943074465425575e+01	11.6	ok
thanos-epyc7232p	dd	control2	66	v712	1	0	1	0.65	0.620000	64	8.2999999857902349e+00	11.8	ok
thanos-epyc7232p	dd	control2	66	v712	1	0	2	0.65	0.620000	64	8.2999999857902349e+00	11.6	ok
thanos-epyc7232p	dd	control2	66	v712	1	0	3	0.65	0.630000	64	8.2999999857902349e+00	11.7	ok
thanos-epyc7232p	dd	control2	66	upstream1	1	0	1	0.74	0.727193	64	8.2999999857902349e+00	11.7	ok
