machine	backend	problem	m	config	threads	cpuset	repeat	wall_s	mainloop_s	iters	obj	peak_rss_MB	status
mac-m1max	dd	control1	21	v712	1	-	1	0.05	0.020000	71	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	v712	1	-	2	0.04	0.020000	71	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	v712	1	-	3	0.04	0.020000	71	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	upstream1	1	-	1	0.05	0.023002	69	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	upstream1	1	-	2	0.05	0.023938	69	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	upstream1	1	-	3	0.07	0.022885	69	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	upstream8	8	-	1	0.81	0.790388	69	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	upstream8	8	-	2	0.82	0.794785	70	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	upstream8	8	-	3	1.21	1.191591	103	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	optimized1	1	-	1	0.04	0.021260	69	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	optimized1	1	-	2	0.05	0.021922	69	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	optimized1	1	-	3	0.04	0.021796	69	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	optimized8	8	-	1	0.04	0.021172	69	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	optimized8	8	-	2	0.04	0.020637	69	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	optimized8	8	-	3	0.04	0.021230	69	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	gpp100	101	v712	1	-	1	0.90	0.860000	23	-4.4943074465425589e+01	8.5	ok
mac-m1max	dd	gpp100	101	v712	1	-	2	0.92	0.870000	23	-4.4943074465425589e+01	8.5	ok
