machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status
mac-m1max	dd	control1	21	v712	1	-	-	1	0.05	0.020000	71	-	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	v712	1	-	-	2	0.04	0.020000	71	-	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	control1	21	v712	1	-	-	3	0.04	0.020000	71	-	1.7784626717523405e+01	8.5	ok
mac-m1max	dd	gpp100	101	v712	1	-	-	1	0.90	0.860000	23	-	-4.4943074465425589e+01	8.5	ok
mac-m1max	dd	gpp100	101	v712	1	-	-	2	0.92	0.870000	23	-	-4.4943074465425589e+01	8.5	ok
mac-m1max	dd	gpp100	101	v712	1	-	-	3	0.92	0.870000	23	-	-4.4943074465425589e+01	8.5	ok
mac-m1max	dd	control2	66	v712	1	-	-	1	0.23	0.200000	61	-	8.2999999857902349e+00	8.5	ok
mac-m1max	dd	control2	66	v712	1	-	-	2	0.22	0.190000	61	-	8.2999999857902349e+00	8.5	ok
mac-m1max	dd	control2	66	v712	1	-	-	3	0.22	0.190000	61	-	8.2999999857902349e+00	8.5	ok
mac-m1max	dd	gpp124-1	125	v712	1	-	-	1	1.68	1.650000	24	-	-7.3429256740235651e+00	8.5	ok
mac-m1max	dd	gpp124-1	125	v712	1	-	-	2	1.68	1.640000	24	-	-7.3429256740235651e+00	8.5	ok
mac-m1max	dd	gpp124-1	125	v712	1	-	-	3	1.69	1.640000	24	-	-7.3429256740235651e+00	8.5	ok
mac-m1max	dd	theta1	104	v712	1	-	-	1	0.20	0.170000	44	-	2.3000000000000000e+01	8.5	ok
mac-m1max	dd	theta1	104	v712	1	-	-	2	0.21	0.180000	44	-	2.3000000000000000e+01	8.5	ok
mac-m1max	dd	theta1	104	v712	1	-	-	3	0.20	0.170000	44	-	2.3000000000000000e+01	8.5	ok
mac-m1max	dd	mcp100	100	v712	1	-	-	1	1.02	0.980000	55	-	2.2615735148330884e+02	8.5	ok
