machine	backend	problem	m	config	threads	cpuset	repeat	wall_s	mainloop_s	iters	obj	peak_rss_MB	status
pi-i9-13900k	dd	control1	21	v712	1	0	1	0.01	0.010000	77	1.7784626717523405e+01	2.5	ok
pi-i9-13900k	dd	control1	21	v712	1	0	2	0.01	0.010000	77	1.7784626717523405e+01	2.5	ok
pi-i9-13900k	dd	control1	21	v712	1	0	3	0.01	0.010000	77	1.7784626717523405e+01	2.5	ok
pi-i9-13900k	dd	control1	21	upstream1	1	0	1	0.01	0.018151	71	1.7784626717523405e+01	4.8	ok
pi-i9-13900k	dd	control1	21	upstream1	1	0	2	0.01	0.018162	71	1.7784626717523405e+01	5.0	ok
pi-i9-13900k	dd	control1	21	upstream1	1	0	3	0.01	0.018121	71	1.7784626717523405e+01	5.0	ok
pi-i9-13900k	dd	control1	21	upstream24	24	0,2,4,6,8,10,12,14,16-31	1	0.16	0.165919	69	1.7784626717523405e+01	4.5	ok
pi-i9-13900k	dd	control1	21	upstream24	24	0,2,4,6,8,10,12,14,16-31	2	0.17	0.176456	74	1.7784626717523405e+01	4.6	ok
pi-i9-13900k	dd	control1	21	upstream24	24	0,2,4,6,8,10,12,14,16-31	3	0.2	0.208014	88	1.7784626717523405e+01	4.5	ok
pi-i9-13900k	dd	control1	21	upstream8P	8	0,2,4,6,8,10,12,14	1	0.06	0.066342	70	1.7784626717523405e+01	4.6	ok
pi-i9-13900k	dd	control1	21	upstream8P	8	0,2,4,6,8,10,12,14	2	0.07	0.074426	81	1.7784626717523405e+01	4.5	ok
pi-i9-13900k	dd	control1	21	upstream8P	8	0,2,4,6,8,10,12,14	3	0.08	0.081668	90	1.7784626717523405e+01	4.7	ok
pi-i9-13900k	dd	control1	21	optimized1	1	0	1	0.01	0.016599	71	1.7784626717523405e+01	5.0	ok
pi-i9-13900k	dd	control1	21	optimized1	1	0	2	0.01	0.016578	71	1.7784626717523405e+01	5.0	ok
pi-i9-13900k	dd	control1	21	optimized1	1	0	3	0.01	0.016614	71	1.7784626717523405e+01	5.0	ok
pi-i9-13900k	dd	control1	21	optimized8P	8	0,2,4,6,8,10,12,14	1	0.01	0.016537	71	1.7784626717523405e+01	4.6	ok
pi-i9-13900k	dd	control1	21	optimized8P	8	0,2,4,6,8,10,12,14	2	0.01	0.016539	71	1.7784626717523405e+01	4.5	ok
pi-i9-13900k	dd	control1	21	optimized8P	8	0,2,4,6,8,10,12,14	3	0.01	0.016534	71	1.7784626717523405e+01	4.6	ok
pi-i9-13900k	dd	control1	21	optimized24	24	0,2,4,6,8,10,12,14,16-31	1	0.01	0.016505	71	1.7784626717523405e+01	4.4	ok
pi-i9-13900k	dd	control1	21	optimized24	24	0,2,4,6,8,10,12,14,16-31	2	0.01	0.016500	71	1.7784626717523405e+01	4.5	ok
pi-i9-13900k	dd	control1	21	optimized24	24	0,2,4,6,8,10,12,14,16-31	3	0.01	0.016514	71	1.7784626717523405e+01	4.5	ok
pi-i9-13900k	dd	control1	21	optimized24arena1	24	0,2,4,6,8,10,12,14,16-31	1	0.01	0.016495	71	1.7784626717523405e+01	4.7	ok
pi-i9-13900k	dd	control1	21	optimized24arena1	24	0,2,4,6,8,10,12,14,16-31	2	0.01	0.016516	71	1.7784626717523405e+01	4.5	ok
pi-i9-13900k	dd	control1	21	optimized24arena1	24	0,2,4,6,8,10,12,14,16-31	3	0.01	0.016487	71	1.7784626717523405e+01	4.6	ok
pi-i9-13900k	dd	gpp100	101	v712	1	0	1	0.72	0.710000	23	-4.4943074465425582e+01	5.0	ok
pi-i9-13900k	dd	gpp100	101	v712	1	0	2	0.72	0.710000	23	-4.4943074465425582e+01	5.0	ok
pi-i9-13900k	dd	gpp100	101	v712	1	0	3	0.72	0.710000	23	-4.4943074465425582e+01	5.0	ok
pi-i9-13900k	dd	gpp100	101	upstream1	1	0	1	0.83	0.828497	23	-4.4943074465425575e+01	7.5	ok
pi-i9-13900k	dd	gpp100	101	upstream1	1	0	2	0.83	0.828617	23	-4.4943074465425575e+01	7.4	ok
pi-i9-13900k	dd	gpp100	101	upstream1	1	0	3	0.83	0.830155	23	-4.4943074465425575e+01	7.3	ok
pi-i9-13900k	dd	gpp100	101	upstream24	24	0,2,4,6,8,10,12,14,16-31	1	0.33	0.327662	24	-4.4943376891387850e+01	6.9	ok
pi-i9-13900k	dd	gpp100	101	upstream24	24	0,2,4,6,8,10,12,14,16-31	2	0.32	0.312562	23	-4.4943074465425568e+01	7.0	ok
pi-i9-13900k	dd	gpp100	101	upstream24	24	0,2,4,6,8,10,12,14,16-31	3	0.32	0.313661	23	-4.4943074465425575e+01	6.9	ok
pi-i9-13900k	dd	gpp100	101	upstream8P	8	0,2,4,6,8,10,12,14	1	0.29	0.283610	23	-4.4943074465425575e+01	6.8	ok
pi-i9-13900k	dd	gpp100	101	upstream8P	8	0,2,4,6,8,10,12,14	2	0.3	0.299166	24	-4.4943376891387793e+01	7.0	ok
pi-i9-13900k	dd	gpp100	101	upstream8P	8	0,2,4,6,8,10,12,14	3	0.29	0.283720	23	-4.4943074465425582e+01	7.0	ok
pi-i9-13900k	dd	gpp100	101	optimized1	1	0	1	0.75	0.750203	23	-4.4943074465425575e+01	7.3	ok
pi-i9-13900k	dd	gpp100	101	optimized1	1	0	2	0.75	0.750490	23	-4.4943074465425575e+01	7.2	ok
pi-i9-13900k	dd	gpp100	101	optimized1	1	0	3	0.75	0.750061	23	-4.4943074465425575e+01	7.5	ok
pi-i9-13900k	dd	gpp100	101	optimized8P	8	0,2,4,6,8,10,12,14	1	0.26	0.259870	23	-4.4943074465425575e+01	6.8	ok
