machine	backend	src_commit	param_sha	problem	threads	cpuset	iters	obj	hash_xMat	hash_yVec	hash_zMat	hash_all
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	control1	1	0,2,4,6,8,10,12,14,16-31	71	1.7784626717523405e+01	0x2542254db7c39850	0x5ddf850342551885	0x567c64f0e7d20f77	0xd378f10537e7a751
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	control1	2	0,2,4,6,8,10,12,14,16-31	71	1.7784626717523405e+01	0x2542254db7c39850	0x5ddf850342551885	0x567c64f0e7d20f77	0xd378f10537e7a751
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	control1	4	0,2,4,6,8,10,12,14,16-31	71	1.7784626717523405e+01	0x2542254db7c39850	0x5ddf850342551885	0x567c64f0e7d20f77	0xd378f10537e7a751
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	control1	8	0,2,4,6,8,10,12,14,16-31	71	1.7784626717523405e+01	0x2542254db7c39850	0x5ddf850342551885	0x567c64f0e7d20f77	0xd378f10537e7a751
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	control1	24	0,2,4,6,8,10,12,14,16-31	71	1.7784626717523405e+01	0x2542254db7c39850	0x5ddf850342551885	0x567c64f0e7d20f77	0xd378f10537e7a751
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	truss5	1	0,2,4,6,8,10,12,14,16-31	62	-1.3263567797250604e+02	0x2a8d43f530e4b4c4	0x22359bd443739f17	0x9d1093f541fc9602	0x5295bb61536cd220
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	truss5	2	0,2,4,6,8,10,12,14,16-31	62	-1.3263567797250604e+02	0x2a8d43f530e4b4c4	0x22359bd443739f17	0x9d1093f541fc9602	0x5295bb61536cd220
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	truss5	4	0,2,4,6,8,10,12,14,16-31	62	-1.3263567797250604e+02	0x2a8d43f530e4b4c4	0x22359bd443739f17	0x9d1093f541fc9602	0x5295bb61536cd220
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	truss5	8	0,2,4,6,8,10,12,14,16-31	62	-1.3263567797250604e+02	0x2a8d43f530e4b4c4	0x22359bd443739f17	0x9d1093f541fc9602	0x5295bb61536cd220
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	truss5	24	0,2,4,6,8,10,12,14,16-31	62	-1.3263567797250604e+02	0x2a8d43f530e4b4c4	0x22359bd443739f17	0x9d1093f541fc9602	0x5295bb61536cd220
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	theta1	1	0,2,4,6,8,10,12,14,16-31	50	2.3000000000000000e+01	0x144e35abb60fa7ac	0xf4f4eb7af41664cf	0xa4ce2e417e9c7f01	0xeed7d56f02817e9a
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	theta1	2	0,2,4,6,8,10,12,14,16-31	50	2.3000000000000000e+01	0x144e35abb60fa7ac	0xf4f4eb7af41664cf	0xa4ce2e417e9c7f01	0xeed7d56f02817e9a
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	theta1	4	0,2,4,6,8,10,12,14,16-31	50	2.3000000000000000e+01	0x144e35abb60fa7ac	0xf4f4eb7af41664cf	0xa4ce2e417e9c7f01	0xeed7d56f02817e9a
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	theta1	8	0,2,4,6,8,10,12,14,16-31	50	2.3000000000000000e+01	0x144e35abb60fa7ac	0xf4f4eb7af41664cf	0xa4ce2e417e9c7f01	0xeed7d56f02817e9a
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	theta1	24	0,2,4,6,8,10,12,14,16-31	50	2.3000000000000000e+01	0x144e35abb60fa7ac	0xf4f4eb7af41664cf	0xa4ce2e417e9c7f01	0xeed7d56f02817e9a
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	gpp100	1	0,2,4,6,8,10,12,14,16-31	23	-4.4943074465425575e+01	0xfe9f7f6df10e670c	0xffb77b685480b3ff	0xae45c6436f700ae7	0xfeda7cff549234f7
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	gpp100	2	0,2,4,6,8,10,12,14,16-31	23	-4.4943074465425575e+01	0xfe9f7f6df10e670c	0xffb77b685480b3ff	0xae45c6436f700ae7	0xfeda7cff549234f7
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	gpp100	4	0,2,4,6,8,10,12,14,16-31	23	-4.4943074465425575e+01	0xfe9f7f6df10e670c	0xffb77b685480b3ff	0xae45c6436f700ae7	0xfeda7cff549234f7
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	gpp100	8	0,2,4,6,8,10,12,14,16-31	23	-4.4943074465425575e+01	0xfe9f7f6df10e670c	0xffb77b685480b3ff	0xae45c6436f700ae7	0xfeda7cff549234f7
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	gpp100	24	0,2,4,6,8,10,12,14,16-31	23	-4.4943074465425575e+01	0xfe9f7f6df10e670c	0xffb77b685480b3ff	0xae45c6436f700ae7	0xfeda7cff549234f7
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	gpp124-1	1	0,2,4,6,8,10,12,14,16-31	24	-7.3429256740235607e+00	0x93c3ed37e3311e81	0xe215221369139db6	0xf0734d427e18304e	0x4f85606d5e6a147d
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	gpp124-1	2	0,2,4,6,8,10,12,14,16-31	24	-7.3429256740235607e+00	0x93c3ed37e3311e81	0xe215221369139db6	0xf0734d427e18304e	0x4f85606d5e6a147d
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	gpp124-1	4	0,2,4,6,8,10,12,14,16-31	24	-7.3429256740235607e+00	0x93c3ed37e3311e81	0xe215221369139db6	0xf0734d427e18304e	0x4f85606d5e6a147d
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	gpp124-1	8	0,2,4,6,8,10,12,14,16-31	24	-7.3429256740235607e+00	0x93c3ed37e3311e81	0xe215221369139db6	0xf0734d427e18304e	0x4f85606d5e6a147d
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	gpp124-1	24	0,2,4,6,8,10,12,14,16-31	24	-7.3429256740235607e+00	0x93c3ed37e3311e81	0xe215221369139db6	0xf0734d427e18304e	0x4f85606d5e6a147d
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	arch0	1	0,2,4,6,8,10,12,14,16-31	72	5.6651727321592960e-01	0x7794c786a86160ea	0xa60c3f2be1f689dd	0x4ff65a3c598fe94c	0x15a9f88f1c461d8d
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	arch0	2	0,2,4,6,8,10,12,14,16-31	72	5.6651727321592960e-01	0x7794c786a86160ea	0xa60c3f2be1f689dd	0x4ff65a3c598fe94c	0x15a9f88f1c461d8d
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	arch0	4	0,2,4,6,8,10,12,14,16-31	72	5.6651727321592960e-01	0x7794c786a86160ea	0xa60c3f2be1f689dd	0x4ff65a3c598fe94c	0x15a9f88f1c461d8d
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	arch0	8	0,2,4,6,8,10,12,14,16-31	72	5.6651727321592960e-01	0x7794c786a86160ea	0xa60c3f2be1f689dd	0x4ff65a3c598fe94c	0x15a9f88f1c461d8d
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	arch0	24	0,2,4,6,8,10,12,14,16-31	72	5.6651727321592960e-01	0x7794c786a86160ea	0xa60c3f2be1f689dd	0x4ff65a3c598fe94c	0x15a9f88f1c461d8d
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	arch4	1	0,2,4,6,8,10,12,14,16-31	72	9.7262741740980896e-01	0x9d68d2d09f36fe01	0x5e61745037c2ecf8	0x1c4c1599a4e8b7ff	0x8c4597d95f04aed4
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	arch4	2	0,2,4,6,8,10,12,14,16-31	72	9.7262741740980896e-01	0x9d68d2d09f36fe01	0x5e61745037c2ecf8	0x1c4c1599a4e8b7ff	0x8c4597d95f04aed4
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	arch4	4	0,2,4,6,8,10,12,14,16-31	72	9.7262741740980896e-01	0x9d68d2d09f36fe01	0x5e61745037c2ecf8	0x1c4c1599a4e8b7ff	0x8c4597d95f04aed4
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	arch4	8	0,2,4,6,8,10,12,14,16-31	72	9.7262741740980896e-01	0x9d68d2d09f36fe01	0x5e61745037c2ecf8	0x1c4c1599a4e8b7ff	0x8c4597d95f04aed4
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	arch4	24	0,2,4,6,8,10,12,14,16-31	72	9.7262741740980896e-01	0x9d68d2d09f36fe01	0x5e61745037c2ecf8	0x1c4c1599a4e8b7ff	0x8c4597d95f04aed4
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	qap8	1	0,2,4,6,8,10,12,14,16-31	19	-7.5694312988433944e+02	0x0598b845deb1e195	0x936e68cbf2f2d7f9	0x732be9b388a733a5	0xc1f9375e0d65bcbf
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	qap8	2	0,2,4,6,8,10,12,14,16-31	19	-7.5694312988433944e+02	0x0598b845deb1e195	0x936e68cbf2f2d7f9	0x732be9b388a733a5	0xc1f9375e0d65bcbf
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	qap8	4	0,2,4,6,8,10,12,14,16-31	19	-7.5694312988433944e+02	0x0598b845deb1e195	0x936e68cbf2f2d7f9	0x732be9b388a733a5	0xc1f9375e0d65bcbf
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	qap8	8	0,2,4,6,8,10,12,14,16-31	19	-7.5694312988433944e+02	0x0598b845deb1e195	0x936e68cbf2f2d7f9	0x732be9b388a733a5	0xc1f9375e0d65bcbf
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	qap8	24	0,2,4,6,8,10,12,14,16-31	19	-7.5694312988433944e+02	0x0598b845deb1e195	0x936e68cbf2f2d7f9	0x732be9b388a733a5	0xc1f9375e0d65bcbf
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	theta2	1	0,2,4,6,8,10,12,14,16-31	56	3.2879169015772582e+01	0xa2f8fa33e6428ec4	0x11a03c119a4aedd5	0x528c62ea6cbebd01	0x2e9e703aa4488aa2
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	theta2	2	0,2,4,6,8,10,12,14,16-31	56	3.2879169015772582e+01	0xa2f8fa33e6428ec4	0x11a03c119a4aedd5	0x528c62ea6cbebd01	0x2e9e703aa4488aa2
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	theta2	4	0,2,4,6,8,10,12,14,16-31	56	3.2879169015772582e+01	0xa2f8fa33e6428ec4	0x11a03c119a4aedd5	0x528c62ea6cbebd01	0x2e9e703aa4488aa2
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	theta2	8	0,2,4,6,8,10,12,14,16-31	56	3.2879169015772582e+01	0xa2f8fa33e6428ec4	0x11a03c119a4aedd5	0x528c62ea6cbebd01	0x2e9e703aa4488aa2
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	theta2	24	0,2,4,6,8,10,12,14,16-31	56	3.2879169015772582e+01	0xa2f8fa33e6428ec4	0x11a03c119a4aedd5	0x528c62ea6cbebd01	0x2e9e703aa4488aa2
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	mcp124-1	1	0,2,4,6,8,10,12,14,16-31	50	1.4199047709767370e+02	0xf8104575a1b0af8c	0x6748886e7168994b	0xeef9b28efbffcbc2	0xaaade00ed66a553f
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	mcp124-1	2	0,2,4,6,8,10,12,14,16-31	50	1.4199047709767370e+02	0xf8104575a1b0af8c	0x6748886e7168994b	0xeef9b28efbffcbc2	0xaaade00ed66a553f
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	mcp124-1	4	0,2,4,6,8,10,12,14,16-31	50	1.4199047709767370e+02	0xf8104575a1b0af8c	0x6748886e7168994b	0xeef9b28efbffcbc2	0xaaade00ed66a553f
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	mcp124-1	8	0,2,4,6,8,10,12,14,16-31	50	1.4199047709767370e+02	0xf8104575a1b0af8c	0x6748886e7168994b	0xeef9b28efbffcbc2	0xaaade00ed66a553f
